batch_id,cycle_time_hrs,process_stability_pct,process_stability_in_control_pct_temperature,process_stability_in_control_pct_process_pressure,process_stability_in_control_pct_flow_rate,golden_batch_similarity_pct,golden_batch_similarity_pct_temperature,golden_batch_similarity_pct_process_pressure,golden_batch_similarity_pct_flow_rate,fault_onset_elapsed_minutes,theoretical_output_kg,actual_output_kg,assay_pct,yield_pct,quality_score_pct,oee_availability_pct,oee_performance_pct,oee_quality_pct,oee_pct,total_energy_kwh,sec_kwh_per_kg,generation_method_version
PAR-001,6.667,99.08,97.24,100.0,100.0,90.0,89.33,91.59,89.09,194.0,150.0,148.59,100.56,99.06,94.44,95.75,94.76,94.44,85.69,243.89,1.6414,v2
PAR-002,6.717,100.0,100.0,100.0,100.0,89.02,89.89,89.7,87.48,,150.0,150.0,100.15,100.0,98.47,95.04,96.82,98.47,90.61,243.2,1.6214,v2
PAR-003,6.167,96.25,88.74,100.0,100.0,87.15,83.33,89.4,88.7,177.0,150.0,146.07,99.66,97.38,96.56,100.0,93.93,96.56,90.69,234.76,1.6071,v2
PAR-004,6.267,100.0,100.0,100.0,100.0,88.66,89.16,89.62,87.21,,150.0,150.0,99.85,100.0,98.5,100.0,91.6,98.5,90.23,235.35,1.569,v2
PAR-005,6.133,99.78,99.33,100.0,100.0,89.04,87.03,90.74,89.35,260.0,150.0,148.07,99.67,98.71,96.67,100.0,96.49,96.67,93.28,235.77,1.5923,v2
PAR-006,6.3,99.79,99.37,100.0,100.0,88.77,86.12,90.82,89.36,307.0,150.0,150.0,99.88,100.0,98.76,100.0,93.81,98.76,92.64,238.14,1.5876,v2
PAR-007,6.183,100.0,100.0,100.0,100.0,90.1,91.33,89.64,89.34,,150.0,150.0,100.2,100.0,98.04,100.0,91.71,98.04,89.92,241.47,1.6098,v2
PAR-008,6.417,98.8,96.39,100.0,100.0,88.41,88.03,88.81,88.4,195.0,150.0,150.0,99.79,100.0,97.87,99.48,97.4,97.87,94.83,240.92,1.6061,v2
PAR-009,6.4,99.6,98.79,100.0,100.0,88.92,90.91,89.21,86.63,188.0,150.0,148.56,99.81,99.04,98.14,99.74,94.39,98.14,92.39,241.56,1.6259,v2
PAR-010,6.117,99.32,97.97,100.0,100.0,88.87,88.55,88.92,89.14,206.0,150.0,147.94,100.4,98.62,95.98,100.0,94.0,95.98,90.23,243.8,1.648,v2
PAR-011,6.833,100.0,100.0,100.0,100.0,89.95,89.57,91.31,88.98,,150.0,149.24,99.59,99.49,95.88,93.41,95.08,95.88,85.16,241.57,1.6187,v2
PAR-012,6.5,100.0,100.0,100.0,100.0,91.24,91.02,92.53,90.17,,150.0,147.46,99.36,98.3,93.64,98.21,97.95,93.64,90.08,249.89,1.6947,v2
PAR-013,6.867,99.48,98.45,100.0,100.0,89.08,87.1,90.98,89.16,191.0,150.0,150.0,100.41,100.0,95.94,92.96,94.81,95.94,84.57,244.36,1.6291,v2
PAR-014,6.033,100.0,100.0,100.0,100.0,90.46,88.02,91.68,91.69,,150.0,149.88,99.69,99.92,96.94,100.0,97.48,96.94,94.5,239.24,1.5962,v2
PAR-015,6.433,100.0,100.0,100.0,100.0,88.71,88.66,90.0,87.48,,150.0,147.72,100.4,98.48,96.04,99.22,98.0,96.04,93.39,244.82,1.6573,v2
PAR-016,6.717,99.46,98.37,100.0,100.0,89.99,90.11,91.55,88.32,180.0,150.0,150.0,99.97,100.0,99.73,95.04,91.31,99.73,86.54,245.97,1.6398,v2
PAR-017,6.167,100.0,100.0,100.0,100.0,89.22,91.67,89.67,86.32,,150.0,147.73,100.2,98.48,98.04,100.0,91.09,98.04,89.3,239.69,1.6225,v2
PAR-018,6.35,99.18,97.53,100.0,100.0,89.82,87.73,90.71,91.03,197.0,150.0,150.0,100.15,100.0,98.54,100.0,96.8,98.54,95.39,246.82,1.6455,v2
PAR-019,6.567,100.0,100.0,100.0,100.0,89.85,90.12,89.21,90.23,,150.0,149.41,99.87,99.61,98.66,97.21,94.21,98.66,90.36,241.5,1.6164,v2
PAR-020,6.483,99.8,99.41,100.0,100.0,89.48,89.73,90.52,88.21,167.0,150.0,150.0,99.53,100.0,95.26,98.46,94.04,95.26,88.2,238.76,1.5917,v2
