batch_id,elapsed_minutes,temperature,process_pressure,flow_rate,agitator_rpm
PAR-GOLDEN,0,23,1.01,0,0
PAR-GOLDEN,1,23,1.01,0,0
PAR-GOLDEN,2,23.1,1.01,0,0
PAR-GOLDEN,3,23.1,1.01,0,0
PAR-GOLDEN,4,23.1,1.01,0,0
PAR-GOLDEN,5,23.1,1.01,0,0
PAR-GOLDEN,6,23.1,1.01,0,0
PAR-GOLDEN,7,23.1,1.01,0,0
PAR-GOLDEN,8,23.1,1.01,0,0
PAR-GOLDEN,9,23,1.01,0,0
PAR-GOLDEN,10,23.1,1.01,0,0
PAR-GOLDEN,11,23.1,1.01,0,0
PAR-GOLDEN,12,23,1.01,0,0
PAR-GOLDEN,13,23,1.01,0,0
PAR-GOLDEN,14,23,1.01,0,0
PAR-GOLDEN,15,22.9,1.01,0,0
PAR-GOLDEN,16,22.9,1.01,0,0
PAR-GOLDEN,17,23,1.01,0,0
PAR-GOLDEN,18,23,1.01,0,0
PAR-GOLDEN,19,23,1.01,0,0
PAR-GOLDEN,20,23,1.01,0,0
PAR-GOLDEN,21,23,1.01,0,0
PAR-GOLDEN,22,23,1.01,0,0
PAR-GOLDEN,23,23.1,1.01,0,0
PAR-GOLDEN,24,23.1,1.01,0,0
PAR-GOLDEN,25,23,1.01,0,0
PAR-GOLDEN,26,23,1.01,0,1
PAR-GOLDEN,27,23.1,1.01,0,3
PAR-GOLDEN,28,23.2,1.01,0,5
PAR-GOLDEN,29,23.3,1.01,0,8
PAR-GOLDEN,30,23.6,1.01,0,11
PAR-GOLDEN,31,23.8,1.01,0,13
PAR-GOLDEN,32,24.1,1.01,0,15
PAR-GOLDEN,33,24.4,1.01,0,16
PAR-GOLDEN,34,24.7,1.01,0,16
PAR-GOLDEN,35,25,1.01,0,17
PAR-GOLDEN,36,25.2,1.01,0,17
PAR-GOLDEN,37,25.6,1.01,0,17
PAR-GOLDEN,38,25.9,1.01,0,18
PAR-GOLDEN,39,26.2,1.01,0,18
PAR-GOLDEN,40,26.5,1.01,0,18
PAR-GOLDEN,41,26.8,1.01,0,18
PAR-GOLDEN,42,27.2,1.01,0,18
PAR-GOLDEN,43,27.6,1.01,0,18
PAR-GOLDEN,44,28,1.01,0,18
PAR-GOLDEN,45,28.3,1.01,0,18
PAR-GOLDEN,46,28.6,1.01,0,19
PAR-GOLDEN,47,29,1.01,0,19
PAR-GOLDEN,48,29.3,1.01,0,20
PAR-GOLDEN,49,29.6,1.01,0,21
PAR-GOLDEN,50,29.9,1.01,0,21
PAR-GOLDEN,51,30.1,1.01,0,21
PAR-GOLDEN,52,30.4,1.01,0,22
PAR-GOLDEN,53,30.6,1.01,0,22
PAR-GOLDEN,54,30.8,1.01,0,22
PAR-GOLDEN,55,31,1.01,0,22
PAR-GOLDEN,56,31.1,1.01,0,22
PAR-GOLDEN,57,31.2,1.01,0,22
PAR-GOLDEN,58,31.4,1.01,0,22
PAR-GOLDEN,59,31.6,1.01,0,22
PAR-GOLDEN,60,31.8,1.01,0,22
PAR-GOLDEN,61,32,1.01,0,22
