batch_id,plant,is_golden_batch,batch_start_datetime,batch_duration_minutes,deviation_scenario,deviation_severity,theoretical_output_kg,actual_output_kg,energy_kwh,assay_pct
PAR-GOLDEN,Hyderabad Plant,true,2025-01-01T08:00:00.000Z,383,None,None,150.0,149.65,239.73,100.06
PAR-001,Hyderabad Plant,false,2025-01-01T19:00:00.000Z,400,None,None,150.0,148.59,243.89,100.56
PAR-002,Pune Facility,false,2025-01-02T06:00:00.000Z,403,None,None,150.0,150.0,243.2,100.15
PAR-003,Chennai Plant,false,2025-01-02T17:00:00.000Z,370,None,None,150.0,146.07,234.76,99.66
PAR-004,Hyderabad Plant,false,2025-01-03T04:00:00.000Z,376,None,None,150.0,150.0,235.35,99.85
PAR-005,Pune Facility,false,2025-01-03T15:00:00.000Z,368,None,None,150.0,148.07,235.77,99.67
PAR-006,Chennai Plant,false,2025-01-04T02:00:00.000Z,378,None,None,150.0,150.0,238.14,99.88
PAR-007,Hyderabad Plant,false,2025-01-04T13:00:00.000Z,371,None,None,150.0,150.0,241.47,100.2
PAR-008,Pune Facility,false,2025-01-05T00:00:00.000Z,385,None,None,150.0,150.0,240.92,99.79
PAR-009,Chennai Plant,false,2025-01-05T11:00:00.000Z,384,None,None,150.0,148.56,241.56,99.81
PAR-010,Hyderabad Plant,false,2025-01-05T22:00:00.000Z,367,None,None,150.0,147.94,243.8,100.4
PAR-011,Pune Facility,false,2025-01-06T09:00:00.000Z,410,None,None,150.0,149.24,241.57,99.59
PAR-012,Chennai Plant,false,2025-01-06T20:00:00.000Z,390,None,None,150.0,147.46,249.89,99.36
PAR-013,Hyderabad Plant,false,2025-01-07T07:00:00.000Z,412,None,None,150.0,150.0,244.36,100.41
PAR-014,Pune Facility,false,2025-01-07T18:00:00.000Z,362,None,None,150.0,149.88,239.24,99.69
PAR-015,Chennai Plant,false,2025-01-08T05:00:00.000Z,386,None,None,150.0,147.72,244.82,100.4
PAR-016,Hyderabad Plant,false,2025-01-08T16:00:00.000Z,403,None,None,150.0,150.0,245.97,99.97
PAR-017,Pune Facility,false,2025-01-09T03:00:00.000Z,370,None,None,150.0,147.73,239.69,100.2
PAR-018,Chennai Plant,false,2025-01-09T14:00:00.000Z,381,None,None,150.0,150.0,246.82,100.15
PAR-019,Hyderabad Plant,false,2025-01-10T01:00:00.000Z,394,None,None,150.0,149.41,241.5,99.87
PAR-020,Pune Facility,false,2025-01-10T12:00:00.000Z,389,None,None,150.0,150.0,238.76,99.53
PAR-021,Chennai Plant,false,2025-01-10T23:00:00.000Z,377,None,None,150.0,150.0,242.49,99.95
PAR-022,Hyderabad Plant,false,2025-01-11T10:00:00.000Z,391,None,None,150.0,147.79,240.64,100.09
PAR-023,Pune Facility,false,2025-01-11T21:00:00.000Z,405,None,None,150.0,147.04,248.38,99.79
PAR-024,Chennai Plant,false,2025-01-12T08:00:00.000Z,384,None,None,150.0,149.2,238.53,99.67
PAR-025,Hyderabad Plant,false,2025-01-12T19:00:00.000Z,388,None,None,150.0,150.0,241.2,100.36
PAR-026,Pune Facility,false,2025-01-13T06:00:00.000Z,383,None,None,150.0,150.0,240.2,99.71
PAR-027,Chennai Plant,false,2025-01-13T17:00:00.000Z,378,None,None,150.0,149.73,246.31,100.05
PAR-028,Hyderabad Plant,false,2025-01-14T04:00:00.000Z,379,None,None,150.0,150.0,240.33,99.54
PAR-029,Pune Facility,false,2025-01-14T15:00:00.000Z,395,None,None,150.0,150.0,244.64,99.9
PAR-030,Chennai Plant,false,2025-01-15T02:00:00.000Z,378,None,None,150.0,148.88,237.04,99.56
PAR-031,Hyderabad Plant,false,2025-01-15T13:00:00.000Z,393,None,None,150.0,149.49,244.01,99.64
PAR-032,Pune Facility,false,2025-01-16T00:00:00.000Z,405,None,None,150.0,150.0,243.78,99.7
PAR-033,Chennai Plant,false,2025-01-16T11:00:00.000Z,392,None,None,150.0,148.38,248.61,99.88
PAR-034,Hyderabad Plant,false,2025-01-16T22:00:00.000Z,380,None,None,150.0,149.85,243.86,99.37
PAR-035,Pune Facility,false,2025-01-17T09:00:00.000Z,381,None,None,150.0,150.0,238.33,99.76
PAR-036,Chennai Plant,false,2025-01-17T20:00:00.000Z,365,None,None,150.0,149.73,240.63,99.88
PAR-037,Hyderabad Plant,false,2025-01-18T07:00:00.000Z,398,None,None,150.0,150.0,248.84,99.9
PAR-038,Pune Facility,false,2025-01-18T18:00:00.000Z,383,None,None,150.0,148.66,242.43,99.9
PAR-039,Chennai Plant,false,2025-01-19T05:00:00.000Z,380,None,None,150.0,147.55,242.51,100.27
PAR-040,Hyderabad Plant,false,2025-01-19T16:00:00.000Z,404,None,None,150.0,150.0,242.12,99.85
PAR-041,Pune Facility,false,2025-01-20T03:00:00.000Z,361,None,None,150.0,150.0,237.78,100.08
PAR-042,Chennai Plant,false,2025-01-20T14:00:00.000Z,387,None,None,150.0,150.0,240.68,100.15
PAR-043,Hyderabad Plant,false,2025-01-21T01:00:00.000Z,398,None,None,150.0,149.53,245.01,99.91
PAR-044,Pune Facility,false,2025-01-21T12:00:00.000Z,401,None,None,150.0,150.0,241.35,100.23
PAR-045,Chennai Plant,false,2025-01-21T23:00:00.000Z,378,None,None,150.0,147.42,235.13,99.69
PAR-046,Hyderabad Plant,false,2025-01-22T10:00:00.000Z,366,None,None,150.0,150.0,235.85,99.86
PAR-047,Pune Facility,false,2025-01-22T21:00:00.000Z,364,None,None,150.0,150.0,233.29,100.0
PAR-048,Chennai Plant,false,2025-01-23T08:00:00.000Z,388,None,None,150.0,149.39,239.52,100.3
PAR-049,Hyderabad Plant,false,2025-01-23T19:00:00.000Z,404,None,None,150.0,150.0,244.75,100.49
PAR-050,Pune Facility,false,2025-01-24T06:00:00.000Z,362,None,None,150.0,150.0,238.55,99.35
PAR-051,Chennai Plant,false,2025-01-24T17:00:00.000Z,408,None,None,150.0,150.0,246.28,99.95
PAR-052,Hyderabad Plant,false,2025-01-25T04:00:00.000Z,379,None,None,150.0,150.0,240.37,99.7
PAR-053,Pune Facility,false,2025-01-25T15:00:00.000Z,382,None,None,150.0,149.38,237.49,99.82
PAR-054,Chennai Plant,false,2025-01-26T02:00:00.000Z,412,None,None,150.0,147.38,248.93,99.94
PAR-055,Hyderabad Plant,false,2025-01-26T13:00:00.000Z,396,None,None,150.0,150.0,245.34,100.72
PAR-056,Pune Facility,false,2025-01-27T00:00:00.000Z,400,None,None,150.0,148.0,246.42,99.86
PAR-057,Chennai Plant,false,2025-01-27T11:00:00.000Z,408,None,None,150.0,149.46,248.17,100.21
PAR-058,Hyderabad Plant,false,2025-01-27T22:00:00.000Z,404,None,None,150.0,150.0,250.12,99.75
PAR-059,Pune Facility,false,2025-01-28T09:00:00.000Z,369,None,None,150.0,148.78,239.45,99.76
PAR-060,Chennai Plant,false,2025-01-28T20:00:00.000Z,374,None,None,150.0,148.1,242.43,99.49
PAR-061,Hyderabad Plant,false,2025-01-29T07:00:00.000Z,406,None,None,150.0,150.0,243.44,99.3
PAR-062,Pune Facility,false,2025-01-29T18:00:00.000Z,376,None,None,150.0,147.03,237.08,100.22
PAR-063,Chennai Plant,false,2025-01-30T05:00:00.000Z,394,None,None,150.0,149.01,245.67,100.26
PAR-064,Hyderabad Plant,false,2025-01-30T16:00:00.000Z,412,None,None,150.0,150.0,250.45,99.7
PAR-065,Pune Facility,false,2025-01-31T03:00:00.000Z,364,None,None,150.0,149.9,233.79,99.82
PAR-066,Chennai Plant,false,2025-01-31T14:00:00.000Z,382,None,None,150.0,146.44,243.44,100.12
PAR-067,Hyderabad Plant,false,2025-02-01T01:00:00.000Z,389,None,None,150.0,145.75,242.55,100.27
PAR-068,Pune Facility,false,2025-02-01T12:00:00.000Z,379,None,None,150.0,149.79,234.66,99.72
PAR-069,Chennai Plant,false,2025-02-01T23:00:00.000Z,395,None,None,150.0,150.0,241.57,99.36
PAR-070,Hyderabad Plant,false,2025-02-02T10:00:00.000Z,379,None,None,150.0,150.0,239.04,100.17
PAR-071,Pune Facility,false,2025-02-02T21:00:00.000Z,372,None,None,150.0,150.0,234.44,99.52
PAR-072,Chennai Plant,false,2025-02-03T08:00:00.000Z,362,None,None,150.0,150.0,241.71,99.72
PAR-073,Hyderabad Plant,false,2025-02-03T19:00:00.000Z,376,None,None,150.0,148.63,241.85,99.4
PAR-074,Pune Facility,false,2025-02-04T06:00:00.000Z,397,None,None,150.0,150.0,240.64,100.18
PAR-075,Chennai Plant,false,2025-02-04T17:00:00.000Z,380,None,None,150.0,150.0,241.17,100.42
PAR-076,Hyderabad Plant,false,2025-02-05T04:00:00.000Z,394,None,None,150.0,146.79,248.59,100.42
PAR-077,Pune Facility,false,2025-02-05T15:00:00.000Z,389,None,None,150.0,148.06,241.47,100.57
PAR-078,Chennai Plant,false,2025-02-06T02:00:00.000Z,357,None,None,150.0,149.61,230.73,99.89
PAR-079,Hyderabad Plant,false,2025-02-06T13:00:00.000Z,357,None,None,150.0,150.0,236.68,99.8
PAR-080,Pune Facility,false,2025-02-07T00:00:00.000Z,386,None,None,150.0,147.72,244.35,99.64
PAR-081,Chennai Plant,false,2025-02-07T11:00:00.000Z,393,Temperature_HeaterFault,Warning,150.0,142.06,252.42,97.66
PAR-082,Hyderabad Plant,false,2025-02-07T22:00:00.000Z,370,Temperature_HeatExchangerFouling,Warning,150.0,136.52,246.41,97.79
PAR-083,Pune Facility,false,2025-02-08T09:00:00.000Z,365,Temperature_SensorDrift,Warning,150.0,150.0,239.65,99.95
PAR-084,Chennai Plant,false,2025-02-08T20:00:00.000Z,362,Temperature_PidHunting,Warning,150.0,144.98,242.03,99.45
PAR-085,Hyderabad Plant,false,2025-02-09T07:00:00.000Z,363,Temperature_HeaterFault,Warning,150.0,138.07,245.01,97.63
PAR-086,Pune Facility,false,2025-02-09T18:00:00.000Z,406,Temperature_HeatExchangerFouling,Warning,150.0,141.47,248.53,98.4
PAR-087,Chennai Plant,false,2025-02-10T05:00:00.000Z,362,Agitator_VfdLock,Warning,150.0,150.0,239.29,100.0
PAR-088,Hyderabad Plant,false,2025-02-10T16:00:00.000Z,395,Agitator_LoadCreep,Warning,150.0,150.0,247.77,99.87
PAR-089,Pune Facility,false,2025-02-11T03:00:00.000Z,400,Agitator_OverloadTrip,Warning,150.0,149.32,240.27,100.42
PAR-090,Chennai Plant,false,2025-02-11T14:00:00.000Z,384,Agitator_BearingWear,Warning,150.0,148.81,241.36,99.93
PAR-091,Hyderabad Plant,false,2025-02-12T01:00:00.000Z,396,Agitator_VfdLock,Warning,150.0,147.91,240.78,99.53
PAR-092,Pune Facility,false,2025-02-12T12:00:00.000Z,380,Agitator_LoadCreep,Warning,150.0,148.71,239.98,99.67
PAR-093,Chennai Plant,false,2025-02-12T23:00:00.000Z,373,Pressure_DamperSticking,Warning,150.0,146.83,243.14,99.77
PAR-094,Hyderabad Plant,false,2025-02-13T10:00:00.000Z,376,Pressure_FilterLoading,Warning,150.0,147.69,239.28,99.88
PAR-095,Pune Facility,false,2025-02-13T21:00:00.000Z,395,Pressure_SealLeak,Warning,150.0,136.36,252.57,96.25
PAR-096,Chennai Plant,false,2025-02-14T08:00:00.000Z,379,Pressure_BlowerFluctuation,Warning,150.0,150.0,238.35,99.74
PAR-097,Hyderabad Plant,false,2025-02-14T19:00:00.000Z,363,Pressure_DamperSticking,Warning,150.0,145.95,240.17,100.02
PAR-098,Pune Facility,false,2025-02-15T06:00:00.000Z,377,Pressure_FilterLoading,Warning,150.0,146.81,241.73,99.72
PAR-099,Chennai Plant,false,2025-02-15T17:00:00.000Z,396,FlowRate_FanFault,Warning,150.0,130.61,257.2,96.64
PAR-100,Hyderabad Plant,false,2025-02-16T04:00:00.000Z,360,FlowRate_FilterLoadingDecay,Warning,150.0,139.09,243.07,97.79
