elapsed_minutes,temperature_lower_offset,temperature_upper_offset,process_pressure_lower_offset,process_pressure_upper_offset,flow_rate_lower_offset,flow_rate_upper_offset,agitator_rpm_lower_offset,agitator_rpm_upper_offset
0,-1.05,0.654,-0.02,0.02,-0.7,0.7,-0.4,0.4
1,-1.1,0.705,-0.02,0.02,-0.7,0.7,-0.4,0.4
2,-1.103,0.754,-0.02,0.02,-0.7,0.7,-0.4,0.4
3,-1.105,0.705,-0.02,0.02,-0.7,0.7,-0.4,0.4
4,-1.104,0.752,-0.02,0.02,-0.7,0.7,-0.4,0.4
5,-1.105,0.705,-0.02,0.02,-0.7,0.7,-0.4,0.4
6,-1.105,0.8,-0.02,0.02,-0.7,0.7,-0.4,0.4
7,-1.202,0.8,-0.02,0.02,-0.7,0.7,-0.4,0.4
8,-1.202,0.802,-0.02,0.02,-0.7,0.7,-0.4,0.4
9,-1.105,0.802,-0.02,0.02,-0.7,0.7,-0.4,0.4
10,-1.103,0.9,-0.02,0.02,-0.7,0.7,-0.4,0.4
11,-1.103,0.902,-0.02,0.02,-0.7,0.7,-0.4,0.4
12,-1.103,0.9,-0.02,0.02,-0.7,0.7,-0.4,0.4
13,-1.103,0.81,-0.02,0.02,-0.7,0.7,-0.4,0.4
14,-1.1,0.81,-0.02,0.02,-0.7,0.7,-0.4,0.4
15,-1.0,0.81,-0.02,0.02,-0.7,0.7,-0.4,0.4
16,-0.902,0.9,-0.02,0.02,-0.7,0.7,-0.4,0.4
17,-0.902,0.907,-0.02,0.02,-0.7,0.7,-0.4,0.4
18,-0.902,1.0,-0.02,0.02,-0.7,0.7,-0.4,0.4
19,-1.0,0.9,-0.02,0.02,-0.7,0.7,-0.4,0.4
20,-1.0,1.0,-0.02,0.02,-0.7,0.7,-0.4,0.4
21,-1.0,0.812,-0.02,0.02,-0.7,0.7,-0.4,0.4
22,-1.0,0.812,-0.02,0.02,-0.7,0.7,-0.4,0.4
23,-0.902,0.902,-0.02,0.02,-0.7,0.7,-0.4,0.4
24,-0.902,1.0,-0.02,0.02,-0.7,0.7,-0.4,1.0
25,-0.902,1.002,-0.02,0.02,-0.7,0.7,-0.4,3.0
26,-1.0,1.005,-0.02,0.02,-0.7,0.7,-1.0,3.0
27,-1.002,1.1,-0.02,0.02,-0.7,0.7,-3.0,3.0
28,-1.002,1.1,-0.02,0.02,-0.7,0.7,-3.0,3.0
29,-1.005,1.005,-0.02,0.02,-0.7,0.7,-3.0,3.0
30,-1.005,1.102,-0.02,0.02,-0.7,0.7,-3.0,3.0
31,-1.105,1.107,-0.02,0.02,-0.7,0.7,-3.0,3.0
32,-1.202,1.2,-0.02,0.02,-0.7,0.7,-3.0,2.0
33,-1.21,1.205,-0.02,0.02,-0.7,0.7,-3.0,1.025
34,-1.3,1.205,-0.02,0.02,-0.7,0.7,-2.0,1.0
35,-1.31,1.205,-0.02,0.02,-0.7,0.7,-2.0,1.0
36,-1.31,1.205,-0.02,0.02,-0.7,0.7,-1.0,1.0
37,-1.402,1.205,-0.02,0.02,-0.7,0.7,-1.0,1.0
38,-1.405,1.205,-0.02,0.02,-0.7,0.7,-1.0,1.0
