batch_id,deviation_scenario,deviation_severity,split,elapsed_minutes,temperature_current,temperature_mean_30,temperature_std_30,temperature_min_30,temperature_max_30,temperature_slope_30,process_pressure_current,process_pressure_mean_30,process_pressure_std_30,process_pressure_min_30,process_pressure_max_30,process_pressure_slope_30,flow_rate_current,flow_rate_mean_30,flow_rate_std_30,flow_rate_min_30,flow_rate_max_30,flow_rate_slope_30,agitator_rpm_current,agitator_rpm_mean_30,agitator_rpm_std_30,agitator_rpm_min_30,agitator_rpm_max_30,agitator_rpm_slope_30,temperature_target_30min,process_pressure_target_30min,flow_rate_target_30min,agitator_rpm_target_30min
PAR-GOLDEN,None,None,train,30,23.6,23.0677,0.1254,22.9,23.6,0.0043,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,11,0.9032,2.5062,0,11,0.1569,31.8,1.01,0,22
PAR-GOLDEN,None,None,train,31,23.8,23.0935,0.1795,22.9,23.8,0.0083,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,13,1.3226,3.2862,0,13,0.2242,32,1.01,0,22
PAR-GOLDEN,None,None,train,32,24.1,23.129,0.2517,22.9,24.1,0.0138,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,15,1.8065,4.0673,0,15,0.2984,32.1,1.01,0,22
PAR-GOLDEN,None,None,train,33,24.4,23.171,0.3372,22.9,24.4,0.0213,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,16,2.3226,4.7613,0,16,0.3726,32.3,1.01,0,22
PAR-GOLDEN,None,None,train,34,24.7,23.2226,0.4316,22.9,24.7,0.0301,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,16,2.8387,5.3164,0,16,0.4403,32.5,1.01,0,22
PAR-GOLDEN,None,None,train,35,25,23.2839,0.5329,22.9,25,0.04,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,17,3.3871,5.8457,0,17,0.5077,32.6,1.01,0,22
PAR-GOLDEN,None,None,train,36,25.2,23.3516,0.6298,22.9,25.2,0.0504,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,17,3.9355,6.2833,0,17,0.5681,32.8,1.01,0,22
PAR-GOLDEN,None,None,train,37,25.6,23.4323,0.7424,22.9,25.6,0.0624,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,17,4.4839,6.6472,0,17,0.6218,32.9,1.01,0,22
PAR-GOLDEN,None,None,train,38,25.9,23.5226,0.8579,22.9,25.9,0.0752,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,18,5.0645,7.0066,0,18,0.6746,33.2,1.01,0,22
PAR-GOLDEN,None,None,train,39,26.2,23.6226,0.9754,22.9,26.2,0.0887,1.01,1.01,0,1.01,1.01,0,0,0,0,0,0,0,18,5.6452,7.3024,0,18,0.7202,33.3,1.01,0,22
