batch_id,ground_truth,scenario,rule_single,rule_consecutive3,rule_trend,rule_ci_gated,actual_positive
PAR-003,Normal,,False,False,True,False,False
PAR-006,Normal,,True,True,True,False,False
PAR-008,Normal,,True,True,True,False,False
PAR-019,Normal,,True,True,True,False,False
PAR-023,Normal,,True,True,True,False,False
PAR-026,Normal,,True,False,True,False,False
PAR-031,Normal,,True,True,True,False,False
PAR-039,Normal,,True,True,True,False,False
PAR-041,Normal,,False,False,False,False,False
PAR-068,Normal,,False,False,False,False,False
PAR-076,Normal,,True,True,True,False,False
PAR-077,Normal,,True,True,True,False,False
PAR-081,Warning,Temperature_HeaterFault,True,True,True,True,True
PAR-090,Warning,Agitator_BearingWear,True,True,True,False,True
PAR-091,Warning,Agitator_VfdLock,False,False,True,False,True
PAR-098,Warning,Pressure_FilterLoading,False,False,False,False,True
PAR-111,Critical,Correlated_DryerRestriction,True,True,True,True,True
PAR-112,Critical,Correlated_DryerRestriction,True,True,True,True,True
