batch_id,ground_truth,scenario,predicted_alert,first_alert_elapsed_minutes,triggering_params,actual_positive
PAR-003,Normal,,False,,,False
PAR-006,Normal,,True,302.0,flow_rate,False
PAR-008,Normal,,True,304.0,flow_rate,False
PAR-019,Normal,,True,312.0,flow_rate,False
PAR-023,Normal,,True,310.0,flow_rate,False
PAR-026,Normal,,True,310.0,flow_rate,False
PAR-031,Normal,,True,314.0,flow_rate,False
PAR-039,Normal,,True,308.0,flow_rate,False
PAR-041,Normal,,False,,,False
PAR-068,Normal,,False,,,False
PAR-076,Normal,,True,314.0,flow_rate,False
PAR-077,Normal,,True,309.0,flow_rate,False
PAR-081,Warning,Temperature_HeaterFault,True,228.0,temperature,True
PAR-090,Warning,Agitator_BearingWear,True,304.0,flow_rate,True
PAR-091,Warning,Agitator_VfdLock,False,,,True
PAR-098,Warning,Pressure_FilterLoading,False,,,True
PAR-111,Critical,Correlated_DryerRestriction,True,158.0,flow_rate,True
PAR-112,Critical,Correlated_DryerRestriction,True,150.0,flow_rate,True
