elapsed_minutes,current_value,predicted_t+30,actual_t+30,lower_limit,upper_limit,predicted_alert,actual_oos_at_t+30
208,66.5,65.72,67.9,63.0,67.0,False,True
209,66.8,65.47,67.6,63.0,67.0,False,True
210,67.0,65.13,67.8,63.0,67.0,False,True
211,67.3,65.14,68.1,63.0,67.0,False,True
212,67.1,65.33,68.1,63.0,67.0,False,True
213,66.6,65.68,68.1,63.0,67.0,False,True
214,66.5,65.66,68.1,63.0,67.0,False,True
215,66.5,65.74,68.3,63.0,67.0,False,True
216,66.8,65.83,68.2,63.0,67.0,False,True
217,67.1,65.87,68.0,63.0,67.0,False,True
218,67.4,65.89,68.3,63.0,67.0,False,True
219,66.8,65.93,68.4,63.0,67.0,False,True
220,67.0,65.95,68.4,63.0,67.0,False,True
221,67.1,65.89,68.1,63.0,67.0,False,True
222,67.3,65.88,67.8,63.0,67.0,False,True
223,67.6,66.02,67.6,63.0,67.0,False,True
224,67.8,66.06,67.1,63.0,67.0,False,True
225,68.0,66.12,67.1,63.0,67.0,False,True
226,67.7,66.07,67.4,63.0,67.0,False,True
227,67.8,66.57,67.8,63.0,67.0,False,True
228,68.1,67.01,67.9,63.0,67.0,True,True
229,68.2,67.64,68.1,63.0,67.0,True,True
230,68.2,67.4,68.6,63.0,67.0,True,True
231,68.5,67.86,68.5,63.0,67.0,True,True
232,68.2,67.61,68.6,63.0,67.0,True,True
233,67.6,67.54,68.0,63.0,67.0,True,True
234,68.3,67.84,67.1,63.0,67.0,True,True
235,68.3,67.99,66.9,63.0,67.0,True,False
236,68.1,68.7,67.7,63.0,67.0,True,True
237,68.0,68.67,67.9,63.0,67.0,True,True
238,67.9,68.87,68.4,63.0,67.0,True,True
239,67.6,68.87,68.8,63.0,67.0,True,True
240,67.8,68.92,68.4,63.0,67.0,True,True
241,68.1,68.93,68.2,63.0,67.0,True,True
242,68.1,69.11,68.4,63.0,67.0,True,True
243,68.1,69.15,68.4,63.0,67.0,True,True
244,68.1,69.2,68.6,63.0,67.0,True,True
245,68.3,69.26,68.5,63.0,67.0,True,True
246,68.2,69.23,68.2,63.0,67.0,True,True
247,68.0,69.16,68.5,63.0,67.0,True,True
248,68.3,69.16,69.1,63.0,67.0,True,True
