batch_id,elapsed_minutes,parameter,predicted,actual,lower_limit,upper_limit,predicted_alert,actual_alert,outcome,ground_truth_scenario,ground_truth_severity
PAR-003,150,temperature,63.94800000000001,64.1,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,151,temperature,63.948999999999984,64.2,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,152,temperature,63.98400000000001,64.0,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,153,temperature,63.949,63.9,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,154,temperature,63.93800000000001,63.3,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,155,temperature,63.98799999999999,63.6,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,156,temperature,64.02,63.3,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,157,temperature,63.97,63.0,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,158,temperature,63.98699999999999,63.0,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,159,temperature,64.00500000000002,63.1,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,160,temperature,64.00600000000004,63.0,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,161,temperature,64.111,63.7,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,162,temperature,64.08000000000003,62.7,63.0,67.0,Normal,Critical,Missed,None,Normal
PAR-003,163,temperature,64.058,62.9,63.0,67.0,Normal,Critical,Missed,None,Normal
PAR-003,164,temperature,64.007,63.1,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,165,temperature,63.99500000000002,63.2,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,166,temperature,63.98600000000001,63.4,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,167,temperature,63.95000000000001,63.1,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,168,temperature,63.89600000000002,62.9,63.0,67.0,Normal,Critical,Missed,None,Normal
PAR-003,169,temperature,63.88399999999999,62.9,63.0,67.0,Normal,Critical,Missed,None,Normal
PAR-003,170,temperature,63.81499999999999,62.9,63.0,67.0,Normal,Critical,Missed,None,Normal
PAR-003,171,temperature,63.59299999999998,62.5,63.0,67.0,Warning,Critical,Correct catch,None,Normal
PAR-003,172,temperature,63.55799999999999,62.9,63.0,67.0,Warning,Critical,Correct catch,None,Normal
PAR-003,173,temperature,63.65399999999999,62.5,63.0,67.0,Normal,Critical,Missed,None,Normal
PAR-003,174,temperature,63.811999999999934,62.5,63.0,67.0,Normal,Critical,Missed,None,Normal
PAR-003,175,temperature,63.90199999999997,63.0,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,176,temperature,63.989000000000004,62.9,63.0,67.0,Normal,Critical,Missed,None,Normal
PAR-003,177,temperature,63.93200000000001,62.6,63.0,67.0,Normal,Critical,Missed,None,Normal
PAR-003,178,temperature,63.85300000000002,63.0,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,179,temperature,63.86000000000002,63.4,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,180,temperature,63.896,63.1,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,181,temperature,63.77400000000001,63.6,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,182,temperature,63.901,63.6,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,183,temperature,63.895,63.7,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,184,temperature,63.909,63.3,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,185,temperature,63.92199999999998,63.3,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,186,temperature,63.957,63.0,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,187,temperature,64.008,63.0,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,188,temperature,64.02900000000001,63.0,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,189,temperature,64.15899999999999,63.3,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,190,temperature,64.29299999999998,63.1,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,191,temperature,64.305,62.8,63.0,67.0,Normal,Critical,Missed,None,Normal
PAR-003,192,temperature,64.125,62.6,63.0,67.0,Normal,Critical,Missed,None,Normal
PAR-003,193,temperature,64.10399999999998,62.7,63.0,67.0,Normal,Critical,Missed,None,Normal
PAR-003,194,temperature,64.08099999999999,62.9,63.0,67.0,Normal,Critical,Missed,None,Normal
PAR-003,195,temperature,64.13699999999999,63.3,63.0,67.0,Normal,Warning,Missed,None,Normal
PAR-003,196,temperature,64.161,63.6,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,197,temperature,64.23,63.8,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,198,temperature,64.29400000000001,64.3,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,199,temperature,64.29,64.2,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,200,temperature,64.29,64.2,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,201,temperature,64.09100000000001,64.0,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,202,temperature,64.32000000000001,64.5,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,203,temperature,64.29000000000002,64.6,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,204,temperature,64.23900000000002,64.7,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,205,temperature,64.328,64.4,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,206,temperature,64.30000000000003,64.5,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,207,temperature,64.433,64.2,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,208,temperature,64.55100000000002,63.9,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,209,temperature,64.59899999999999,64.3,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,210,temperature,64.531,65.2,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,211,temperature,64.52700000000003,65.5,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,212,temperature,64.47200000000002,65.8,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,213,temperature,64.354,65.4,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,214,temperature,64.329,65.7,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,215,temperature,64.35699999999999,65.6,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,216,temperature,64.43200000000002,65.6,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,217,temperature,64.489,65.6,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,218,temperature,64.49599999999998,65.3,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,219,temperature,64.53899999999997,65.5,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,220,temperature,64.49599999999998,65.4,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,221,temperature,64.40100000000001,66.1,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,222,temperature,64.42200000000003,65.7,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,223,temperature,64.39300000000001,66.1,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,224,temperature,64.46500000000002,65.9,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,225,temperature,64.60300000000001,65.9,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,226,temperature,64.52400000000002,66.0,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,227,temperature,64.51200000000001,65.8,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,228,temperature,64.958,65.7,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,229,temperature,64.96300000000001,66.1,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,230,temperature,65.06400000000002,66.3,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,231,temperature,65.368,66.3,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,232,temperature,65.492,66.4,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,233,temperature,65.56200000000004,66.2,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,234,temperature,65.55900000000003,66.1,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,235,temperature,65.62000000000003,65.7,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,236,temperature,65.63900000000001,65.5,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,237,temperature,65.61100000000002,65.3,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,238,temperature,65.34399999999997,65.1,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,239,temperature,65.29699999999998,65.1,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,240,temperature,65.20100000000001,64.9,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,241,temperature,65.341,65.4,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,242,temperature,65.47800000000001,65.8,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,243,temperature,65.229,65.9,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,244,temperature,65.39000000000001,65.9,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,245,temperature,65.48,66.1,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,246,temperature,65.46999999999998,66.0,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,247,temperature,65.484,66.2,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
PAR-003,248,temperature,65.491,66.2,63.0,67.0,Normal,Normal,Correct quiet,None,Normal
